:mode=ask
:IOAccess,Application,Topic,AdviseActive,DDEProtocol,SecApplication,SecTopic,SecAdviseActive,SecDDEProtocol,FailoverExpression,FailoverDeadband,DFOFlag,FBDFlag,FailbackDeadband,
"WS_S1_SWP2_FAIL","$System","STRAND 1 SWS PUMP 2 FAILURE",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"STRAND 1 SWS PUMP 2 FAILURE",0,0,"",""
"WS_S1_SWP1_FAIL","$System","STRAND 1 SWS PUMP 1 FAILURE",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"STRAND 1 SWS PUMP 1 FAILURE",0,0,"",""
"SG_HYD_TEMP_OK","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"SG_P1_ALARM_POPUP","Narco","",No,No,0,No,On,"HISTORY","INALARM",None,1,"",0,0,"",""
"SG_ALARM_HIST_PG_UP","Narco","",No,No,0,No,Off,"OFF","ON",None,1,"",0,0,"",""
"SG_ALARM_HIST_PG_DN","Narco","",No,No,0,No,Off,"OFF","ON",None,1,"",0,0,"",""
"S1_WT_TABLE_OFF","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"Alarm_Blinker_Bit","$System","Blinks The X's On The M1 Pop-Up Alarm Page",No,No,0,No,On,"","",None,1,"Blinks The X's On The M1 Pop-Up Alarm Page",0,0,"",""
"STR1_TORCH_CONTROL_PAGE","$System","STRAND 1 PAGE RUNNING",No,No,0,No,Off,"","",None,1,"STRAND 1 PAGE RUNNING",0,0,"",""
"S1_Valve_Pos_Vis","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"S1Update_Setpoints","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"Drip","$System","",No,No,0,No,Off,"","",On,1,"ALARM9999:STRAND_1_OR_STRAND_2-MMI_COMM_FAULT",0,0,"",""
"Fault","$System","",No,No,0,No,Off,"","",On,1,"ALARM9999:STRAND_1_OR_STRAND_2-MMI_COMM_FAULT",0,0,"",""
"WS4","$System","",No,No,0,No,Off,"","",On,1,"ALARM9999:STRAND_1_OR_STRAND_2-MMI_COMM_FAULT",0,0,"",""
"NewCondition","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"Cant_Zero_MW","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"Cant_Zero_MW_S1","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"HMI_Mold_Powder_St_1_Stop_PB","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"ANALOG_VALUE_ALARM","$System","Analog Value Alarm",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"ANALOG_VALUE_WARNING","$System","Analog Value Warning",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"ANALOG_VALUE_FAULT","$System","Analog Value Fault",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"MAN_CMD","$System","manual Command",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"AUT_CMD","$System","Automatic Command",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"STA_CMD","$System","Start Command",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"STP_CMD","$System","Stop Command",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"AUT_STS","$System","Automatic Selected",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"MAN_STS","$System","Manual Selected",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"STA_STS","$System","Running",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"STP_STS","$System","Stopped",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"CMN_HMI_OpStream_PERM","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"AUX_BIT","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"TOOGLE","$System","Toogle",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"ENABLE_CMD","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"ENABLE_STS","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"DISABLE_STS","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"DISABLE_CMD","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"false","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"TRUE","$System","",No,No,0,No,On,"","",On,1,"",0,0,"",""
"BREAKOUT_DETECTED1","$System","",No,No,0,No,On,"","",On,1,"",0,0,"",""
"BRK_OUT_HMI","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"BREAKOUT_DETECTED","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"BRK_OUT_RES_HMI_1","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"primary","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"Water_System","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"Mag_Stir","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"MagStir1","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"Torch1","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"Magstir_PLC_Fault","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"TimerDone","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
:IODisc,Group,Comment,Logged,EventLogged,EventLoggingPriority,RetentiveValue,InitialDisc,OffMsg,OnMsg,AlarmState,AlarmPri,DConversion,AccessName,ItemUseTagname,ItemName,ReadOnly,AlarmComment,AlarmAckModel,DSCAlarmDisable,DSCAlarmInhibitor,SymbolicName
"Torch_Pulpit_AC_Select","$System","",No,No,0,No,Off,"","",None,1,Direct,"TORCH1",No,"AC_Cool",No,"",0,0,"",""
"S2_T##_65240","$System","ALARM0229:STR2_W/SDRIVE#4XFMROVERTEMP",No,No,0,No,Off,"OK","OVERTEMP",On,3,Direct,"STRAND2",No,"AL229",Yes,"ALARM0229:STR2_W/SDRIVE#4XFMROVERTEMP",0,0,"",""
"C1_W_TD_CAR_AT_PREHEAT","$System","WESTTUNDISHCARATPREHEAT",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_W_TD_Car_StopPreheat",No,"WESTTUNDISHCARATPREHEAT",0,0,"",""
"C1_W_TD_CAR_SLOW_TO_PREHEAT","$System","WESTTUNDISHCARSLOWTOPREHEAT",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_W_TD_Car_SlowPreheat",No,"WESTTUNDISHCARSLOWTOPREHEAT",0,0,"",""
"C1_W_TD_CAR_SLOW_TO_CAST","$System","WESTTUNDISHCARSLOWTOCAST",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_W_TD_Car_SlowCastPosit",No,"WESTTUNDISHCARSLOWTOCAST",0,0,"",""
"C1_E_TD_CAR_AT_PREHEAT","$System","EASTTUNDISHCARATPREHEAT",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_E_Tndsh_Car_AtPreheat",No,"EASTTUNDISHCARATPREHEAT",0,0,"",""
"C1_PLC_IN_RUN_MODE","$System","COMMONPLCINRUNMODE",No,No,0,No,Off,"NOTINRUN","RUNMODE",None,1,Direct,"COMMON",No,"Cmn_PLC_Run",No,"COMMONPLCINRUNMODE",0,0,"",""
"C1_PLC_IN_TEST_MODE","$System","COMMONPLCINTESTMODE",No,No,0,No,Off,"NOTINTEST","TESTMODE",None,1,Direct,"COMMON",No,"Cmn_PLC_Test",No,"COMMONPLCINTESTMODE",0,0,"",""
"S2_ANNUNCIATOR_OS1_MW_OUTLET","$System","",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND2",No,"S2_HMI_MoldWtr_Outlet_LoFlw",No,"",0,0,"",""
"S2_ANNUNCIATOR_OS1_MW_INLET","$System","",No,No,0,No,Off,"OFF","ON",None,1,Direct,"STRAND2",No,"S2_HMI_MoldWtr_Inlet_LoFlw",No,"",0,0,"",""
"Z_PN#_07000","$System","S.W.HEADERPRESSURENORMAL",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_S1_SW_HeadrPres_Nrml",No,"S.W.HEADERPRESSURENORMAL",0,0,"",""
"Z_PN#_08000","$System","S.A.SUPPLYPRESS.NORMAL",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_S1_Spry_AirSuply_Pres_Nrml",No,"S.A.SUPPLYPRESS.NORMAL",0,0,"",""
"Z_PN#_09000","$System","MACHINEWATERHEADERPRESS.OK",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_S1_Mach_WtrPress_Nrml",No,"MACHINEWATERHEADERPRESS.OK",0,0,"",""
"C1_MCHN_HYD_PRES_OK","$System","MACHINEHYDRAULICPRESSUREOK",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_Main_HydSys_PresLo",No,"MACHINEHYDRAULICPRESSUREOK",0,0,"",""
"C1_TD_LVL_CTRL_RDY","$System","TUNDISHLEVELCONTROLREADY",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_Tndsh_Lvl_Cntrl_Rdy",No,"TUNDISHLEVELCONTROLREADY",0,0,"",""
"Z_LC#_52093","$System","TUNDISHCARATCAST",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_TD_Car_Cast_Posit",No,"TUNDISHCARATCAST",0,0,"",""
"J_LC#_52090","$System","TUNDISHCAR#1SELECT(WEST)",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_Tndsh_Car_Sel_At_Cast",No,"TUNDISHCAR#1SELECT(WEST)",0,0,"",""
"K_LC#_52090","$System","TUNDISHCAR#1SELECT(EAST)",No,No,0,No,Off,"OFF","ON",None,1,Direct,"COMMON",No,"CMN_HMI_Tndsh_Car_Sel_AtCast",No,"TUNDISHCAR#1SELECT(EAST)",0,0,"",""
